month,year,avg_bkfast_daily,avg_lunch_daily,pct_lunch_bkfast
0,2012,137533,266298,51.65
1,2012,139382,270534,51.52
2,2012,142335,271593,52.41
3,2012,141452,268843,52.62
4,2012,141179,261331,54.02
5,2012,105238,192374,54.7
6,2012,1769,1812,97.63
7,2012,114036,229135,49.77
8,2012,148698,264167,56.29
9,2012,152198,266731,57.06
10,2012,152153,268995,56.56
11,2012,151427,267857,56.53
0,2013,142854,264700,53.97
1,2013,151141,272183,55.53
2,2013,152086,269716,56.39
3,2013,155596,271675,57.27
4,2013,157186,265464,59.21
5,2013,130983,213916,61.23
6,2013,1556,1542,100.91
7,2013,122383,227572,53.78
8,2013,163393,269727,60.58
9,2013,166139,271503,61.19
10,2013,171768,278150,61.75
11,2013,164165,278375,58.97
0,2014,148172,266236,55.65
1,2014,159567,277765,57.45
2,2014,153811,265170,58
3,2014,171064,280767,60.93
4,2014,174755,274563,63.65
5,2014,150661,225239,66.89
6,2014,1355,1724,78.6
7,2014,133567,230226,58.02
8,2014,180376,279473,64.54
9,2014,186714,281110,66.42
10,2014,189212,286666,66
11,2014,183292,285627,64.17
0,2015,174040,280324,62.09
1,2015,176533,285000,61.94
2,2015,180670,289863,62.33
3,2015,184467,286023,64.49
4,2015,186977,282650,66.15
5,2015,169809,251082,67.63
6,2015,1202,1548,77.65
7,2015,131844,253635,51.98
8,2015,192120,298278,64.41
9,2015,192264,296362,64.87
10,2015,194790,299555,65.03
11,2015,191299,298495,64.09
0,2016,186806,295316,63.26
1,2016,187039,299986,62.35
2,2016,192284,300237,64.04
3,2016,193726,300298,64.51
4,2016,193768,295509,65.57
5,2016,167107,250197,66.79
6,2016,1140,1394,81.78
7,2016,144374,254973,56.62
8,2016,188310,295312,63.77
9,2016,186212,289760,64.26
10,2016,187345,295065,63.49
11,2016,187227,295833,63.29
0,2017,183271,294867,62.15
1,2017,186971,297448,62.86
2,2017,186791,297070,62.88
3,2017,187598,298241,62.9
4,2017,187856,292444,64.24
5,2017,155457,228316,68.09
6,2017,1099,1209,90.9
7,2017,3874,5723,67.69
8,2017,173182,285580,60.64
9,2017,187397,296492,63.2
10,2017,186123,293973,63.31
11,2017,184587,293801,62.83
0,2018,173545,286223,60.63
1,2018,179682,294790,60.95
2,2018,180444,292688,61.65
3,2018,183857,295571,62.2
4,2018,184474,290528,63.5
5,2018,157251,238937,65.81
6,2018,983,1077,91.27
7,2018,3894,5741,67.83
8,2018,162791,272432,59.75
9,2018,178959,283668,63.09
10,2018,174804,280482,62.32
11,2018,176885,284969,62.07
0,2019,169145,279368,60.55
1,2019,172341,286460,60.16
2,2019,176769,286265,61.75
3,2019,180159,287065,62.76
4,2019,178835,280574,63.74
