sch_yr,stdnt_total,avg_bkfast_daily,avg_lunch_daily,pct_lunch_bkfast,avg_after_daily,pct_lunch_after
2007,284448,86082,193133,44.6,,
2008,294122,95618,211291,45.3,,
2009,326871,104150,228269,45.6,3422,1.5
2010,343569,113437,240564,47.2,8936,3.7
2011,358373,133298,256735,51.9,11448,4.5
2012,376303,149713,264574,56.59,24008,6
2013,389284,162927,270726,60.18,24370,8
2014,400691,180636,280036,64.5,27011,9.65
2015,402478,189242,293952,64.38,29795,10.14
2016,398995,184285,290846,63.36,30600,10.52
2017,392321,180022,288556,62.39,28327,9.82
